year,canonical_name,conference,sp_overall,sp_offense,sp_defense,sp_st
2025,Colorado State,Pac-12,-15.6,17.6,32.9,-0.3
2025,UAB,American Athletic,-15.8,25.5,39.8,-1.5
2025,Oregon State,Pac-12,-15.9,17,30.8,-2
2025,Middle Tennessee,Conference USA,-16,20.4,37,0.5
2025,Northern Illinois,Mountain West,-16.7,12,28.1,-0.6
2025,UTEP,Mountain West,-17.5,20.2,36.3,-1.4
2025,Kent State,Mid-American,-19.3,17,34.9,-1.5
2025,Louisiana Monroe,Sun Belt,-21.6,16.1,35.7,-2.1
2025,Ball State,Mid-American,-23,13.4,34.4,-2
2025,Georgia State,Sun Belt,-24.5,18.6,41.1,-2
2025,Charlotte,American Athletic,-26.7,14.5,39.8,-1.4
2025,Sam Houston,Conference USA,-27.8,15.3,41.8,-1.3
2025,UMass,Mid-American,-36.6,7.8,42.8,-1.5
