game_id,week,season_type,neutral_site,canonical_away,canonical_home,home_conf,away_conf,conf_tier,conf_tier_label,home_score,away_score,actual_margin,home_sp,away_sp,rating_diff,effective_hfa,ppa_diff,success_rate_diff,ppa_adj,success_adj,ppa_active,proj_spread_sp,proj_spread,pred_home_margin_sp,pred_home_margin,pred_error_sp,abs_error_sp,pred_error,abs_error,posted_spread,model_edge,bet_qualifies,bet_side,bet_covered
401761589,1,regular,TRUE,Appalachian State,Charlotte,American Athletic,Sun Belt,2,G5,11,34,-23,-15.3,-8.1,-7.200000000000001,0,-0.04999999999999999,NA,-0.24999999999999994,0,TRUE,7.200000000000001,7.450000000000001,-7.200000000000001,-7.450000000000001,15.799999999999999,15.799999999999999,15.549999999999999,15.549999999999999,8.5,1.049999999999999,FALSE,NA,NA
401752802,1,regular,FALSE,Western Michigan,Michigan State,Big Ten,Mid-American,1,P4 (SEC/Big Ten/Big 12/ACC),23,6,17,-4.6,-10.2,5.6,3,0.15000000000000002,NA,0.7500000000000001,0,TRUE,-8.6,-9.35,8.6,9.35,-8.4,8.4,-7.65,7.65,-18.5,-9.15,TRUE,away,TRUE
401754375,1,regular,FALSE,Georgia Tech,Colorado,Big 12,ACC,1,P4 (SEC/Big Ten/Big 12/ACC),20,27,-7,8.1,1.9,6.199999999999999,3.5,-0.13000000000000003,NA,-0.6500000000000001,0,TRUE,-9.7,-9.049999999999999,9.7,9.049999999999999,16.7,16.7,16.049999999999997,16.049999999999997,4,13.049999999999999,FALSE,NA,NA
401752667,1,regular,FALSE,Auburn,Baylor,Big 12,SEC,1,P4 (SEC/Big Ten/Big 12/ACC),24,38,-14,8.4,9.5,-1.0999999999999996,3,0.13000000000000003,NA,0.6500000000000001,0,TRUE,-1.9000000000000004,-2.5500000000000007,1.9000000000000004,2.5500000000000007,15.9,15.9,16.55,16.55,1.5,4.050000000000001,FALSE,NA,NA
401757224,1,regular,TRUE,UNLV,Sam Houston,Conference USA,Mountain West,2,G5,21,38,-17,-6.9,9.3,-16.200000000000003,0,-0.29,NA,-1.45,0,TRUE,16.200000000000003,17.650000000000002,-16.200000000000003,-17.650000000000002,0.7999999999999972,0.7999999999999972,-0.6500000000000021,0.6500000000000021,13.5,-4.150000000000002,FALSE,NA,NA
401760358,1,regular,FALSE,Central Michigan,San Jose State,Mountain West,Mid-American,2,G5,14,16,-2,-5.5,-15.8,10.3,2.5,0.10999999999999999,NA,0.5499999999999999,0,TRUE,-12.8,-13.350000000000001,12.8,13.350000000000001,14.8,14.8,15.350000000000001,15.350000000000001,-11.5,1.8500000000000014,FALSE,NA,NA
401752797,1,regular,FALSE,FAU,Maryland,Big Ten,American Athletic,1,P4 (SEC/Big Ten/Big 12/ACC),39,7,32,-3.9,-12.7,8.799999999999999,2.5,-0.19,NA,-0.95,0,TRUE,-11.299999999999999,-10.349999999999998,11.299999999999999,10.349999999999998,-20.700000000000003,20.700000000000003,-21.650000000000002,21.650000000000002,-16.5,-6.150000000000002,TRUE,away,FALSE
401752677,1,regular,FALSE,Texas,Ohio State,Big Ten,SEC,1,P4 (SEC/Big Ten/Big 12/ACC),14,7,7,31.2,24.1,7.099999999999998,4.5,2.7755575615628914e-17,NA,1.3877787807814457e-16,0,TRUE,-11.599999999999998,-11.599999999999998,11.599999999999998,11.599999999999998,4.599999999999998,4.599999999999998,4.599999999999998,4.599999999999998,-3,8.599999999999998,TRUE,home,TRUE
401752801,1,regular,FALSE,Ball State,Purdue,Big Ten,Mid-American,1,P4 (SEC/Big Ten/Big 12/ACC),31,0,31,-16.2,-19.8,3.6000000000000014,2.5,0.21000000000000002,NA,1.05,0,TRUE,-6.100000000000001,-7.150000000000001,6.100000000000001,7.150000000000001,-24.9,24.9,-23.849999999999998,23.849999999999998,-16.5,-9.349999999999998,TRUE,away,FALSE
401752803,1,regular,FALSE,Northwestern,Tulane,American Athletic,Big Ten,2,G5,23,3,20,5.7,-8.2,13.899999999999999,3,0.04999999999999999,NA,0.24999999999999994,0,TRUE,-16.9,-17.15,16.9,17.15,-3.1000000000000014,3.1000000000000014,-2.8500000000000014,2.8500000000000014,-6.5,10.649999999999999,TRUE,home,TRUE
