year,canonical_name,off_ppa,def_ppa,off_success_rate,def_success_rate,off_explosiveness,def_explosiveness,talent_score,talent_norm,returning_pct,retention_score,third_down_rate,off_power_success,def_power_success,off_stuff_rate,def_stuff_rate,off_line_yards,def_line_yards,turnovers,turnover_margin,pass_completion_rate,sacksOpponent
2025,Air Force,0.286935598221958,0.4016443170135715,0.47630619684082626,0.4943181818181818,1.2013665208389686,1.3668087243470741,NA,NA,NA,NA,0.5098039215686274,0.788235294117647,0.7551020408163265,0.11856474258970359,0.13953488372093023,3.2709828393135725,3.270058139534884,12,-2,0.5914634146341463,16
2025,Akron,0.07016411537606243,0.14564764166308092,0.39504716981132076,0.40328697850821743,1.180533368002093,1.3124423153582485,NA,NA,NA,NA,0.3076923076923077,0.7,0.5967741935483871,0.2,0.2097560975609756,2.83875,2.90609756097561,17,3,0.5173267326732673,34
2025,Alabama,0.2078138240519543,0.07113282923354833,0.4325674325674326,0.37418655097613884,1.2715618020794475,1.2445468486002595,NA,NA,NA,NA,0.4166666666666667,0.6774193548387096,0.75,0.1917808219178082,0.19834710743801653,2.8059360730593608,2.728099173553719,13,7,0.655831739961759,33
2025,Appalachian State,0.09735439948897917,0.180265414804654,0.40860215053763443,0.44831223628691985,1.193943687398339,1.1912131882223336,NA,NA,NA,NA,0.3279569892473118,0.7,0.703125,0.16709511568123395,0.18018018018018017,2.9789203084832905,2.8704954954954953,22,-3,0.5885826771653543,28
2025,Arizona,0.16714291297309816,0.06947976795071124,0.4258849557522124,0.378596087456847,1.2623351862176737,1.1946956868073886,NA,NA,NA,NA,0.4101123595505618,0.75,0.7049180327868853,0.1888111888111888,0.18385650224215247,3.116783216783217,2.8591928251121077,13,18,0.6286353467561522,30
2025,Arizona State,0.13183268269453016,0.10258399765269097,0.39809926082365366,0.40809628008752735,1.2684509535455217,1.2202719043822856,NA,NA,NA,NA,0.32620320855614976,0.631578947368421,0.6944444444444444,0.1953781512605042,0.21103117505995203,2.882983193277311,2.7553956834532376,21,-6,0.5837209302325581,27
2025,Arkansas,0.3022057534021279,0.24770852666491325,0.4866920152091255,0.45975609756097563,1.3339673249825164,1.2808714500124447,NA,NA,NA,NA,0.47183098591549294,0.6607142857142857,0.6724137931034483,0.1994750656167979,0.20088300220750552,3.38005249343832,2.9322295805739516,20,-11,0.6062992125984252,29
2025,Arkansas State,0.0901898093470351,0.1924242209574594,0.41896024464831805,0.43564356435643564,1.1540939632826877,1.2934923165278946,NA,NA,NA,NA,0.3928571428571429,0.6825396825396826,0.6862745098039216,0.2136150234741784,0.19444444444444445,2.573239436619718,2.7472222222222222,23,-7,0.65748031496063,28
2025,Army,0.185317294132274,0.17500555471181142,0.4223245109321059,0.4484924623115578,1.1436446804043374,1.1171959218518557,NA,NA,NA,NA,0.4117647058823529,0.780952380952381,0.71698113207547165,0.13132694938440492,0.16152019002375298,3.0404924760601917,3.1470308788598573,11,5,0.5396825396825397,7
2025,Auburn,0.17270669968790353,0.05992073442142166,0.43530834340991537,0.37376237623762376,1.1538124656962565,1.289063361185499,NA,NA,NA,NA,0.39156626506024095,0.8,0.7,0.16267942583732056,0.26666666666666666,3.1270334928229664,2.2258974358974357,8,9,0.6104972375690608,42
